"filename", "language", "HTML", "JavaScript", "JSON", "Markdown", "CSS", "comment", "blank", "total"
"c:\PWA\README.md", "Markdown", 0, 0, 0, 3, 0, 0, 0, 3
"c:\PWA\css\style.css", "CSS", 0, 0, 0, 0, 393, 0, 87, 480
"c:\PWA\friend.html", "HTML", 53, 0, 0, 0, 0, 21, 19, 93
"c:\PWA\index.html", "HTML", 58, 0, 0, 0, 0, 16, 17, 91
"c:\PWA\main.js", "JavaScript", 0, 8, 0, 0, 0, 9, 3, 20
"c:\PWA\manifest.json", "JSON", 0, 0, 36, 0, 0, 0, 1, 37
"c:\PWA\scriptFriend.js", "JavaScript", 0, 83, 0, 0, 0, 4, 27, 114
"c:\PWA\scriptIndex.js", "JavaScript", 0, 143, 0, 0, 0, 6, 37, 186
"c:\PWA\serviceworker.js", "JavaScript", 0, 5, 0, 0, 0, 0, 2, 7
"Total", "-", 111, 239, 36, 3, 393, 56, 193, 1031
